statecode,countycode,v168_flag_CT,v168_numerator,v168_denominator,v168_rawvalue,v168_cilow,v168_cihigh
08,005,,419983,456918,0.9191649267483444,0.9152002674920219,0.9231295860046669
08,007,,10547,11052,0.9543069127759681,0.932041947277742,0.9765718782741942
08,009,,2202,2510,0.8772908366533865,0.8330404199967617,0.9215412533100112
08,011,,3557,4289,0.8293308463511307,0.7881287352238256,0.8705329574784358
08,013,,211412,220629,0.9582239868738923,0.9535365030351346,0.96291147071265
08,014,,52564,54521,0.9641055739990095,0.9575712336490942,0.9706399143489248
08,015,,15631,16499,0.9473907509546033,0.9301532833786028,0.9646282185306039
08,017,,1165,1263,0.9224069675376089,0.9091756679592344,0.9356382671159833
08,019,,6929,7411,0.9349615436513291,0.9059556646346169,0.9639674226680414
08,021,,4652,5131,0.9066458779964919,0.8851306497872125,0.9281611062057713
08,023,,2476,2752,0.8997093023255814,0.8611613699817829,0.9382572346693799
08,025,,3593,4414,0.8140009062075215,0.7812046256296903,0.8467971867853528
08,027,,3975,4173,0.9525521207764198,0.9256364219551831,0.9794678195976565
08,029,,21250,23409,0.9077705156136529,0.8910792348540408,0.9244617963732649
08,031,,485010,532052,0.91158383015194,0.9073541562420685,0.9158135040618115
08,033,,1941,2032,0.9552165354330708,0.8958031714487994,1
08,035,,253858,259400,0.9786353122590594,0.975344764730027,0.9819258597880919
08,037,,38134,40108,0.9507828862072405,0.9323433393146096,0.9692224330998714
08,039,,19462,20179,0.964468011298875,0.9544513952280299,0.9744846273697202
08,041,,469268,493667,0.9505759955597599,0.9469956784613395,0.95415631265818035
08,043,,35175,38745,0.907859078590786,0.8927385868874224,0.9229795702941496
08,045,,37468,41932,0.8935419250214633,0.8790838246366376,0.9080000254062891
08,047,,4426,4737,0.9343466328900147,0.8624293434624103,1
08,049,,11898,12437,0.9566615743346466,0.9385857815241234,0.9747373671451698
08,051,,11391,11668,0.9762598560164553,0.961636169871672,0.9908835421612385
08,053,,778,778,1,1,1
08,055,,5067,5442,0.9310915104740904,0.9030145027302827,0.9591685182178982
08,057,,1001,1094,0.9149908592321755,0.8423124418892534,0.9876692765750976
08,059,,411128,429259,0.9577620970090318,0.954369729948196,0.9611544640698676
08,061,,916,989,0.9261880687563195,0.8737397205082081,0.9786364170044309
08,063,,4337,4759,0.9113259088043707,0.8849101849274099,0.9377416326813315
08,065,,4833,5150,0.9384466019417476,0.8853397291918628,0.9915534746916324
08,067,,39901,41347,0.9650276924565264,0.9567958116317951,0.9732595732812578
08,069,,239087,247787,0.9648891991912408,0.960991576631151,0.9687868217513307
08,071,,9657,10701,0.9024390243902439,0.8833173780993324,0.9215606706811554
