statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
08,107,39,125965,27.68336970589926,30.960981224943435,19.491647049266103,38.15787852296529,,
08,109,,,,,,,,
08,111,,,,,,,,
08,113,12,39869,34.29955106603279,30.098572826005167,17.122212311619574,61.37137137005677,,
08,115,,,,,,,,
08,117,18,153484,10.98526202616906,11.727606786375127,6.279026411423816,17.839377302158017,,
08,119,59,124791,41.06337412603673,47.27905057255731,30.171822771957082,54.605582449933564,,
08,121,,,,,,,,
08,123,295,1753382,16.740830968173842,16.82462806165456,14.812294946106439,18.669366990241247,,
08,125,,,,,,,,
09,000,1911,18081053,9.778624648199939,10.569074710416478,9.324308612245279,10.232940684154599,,
09,001,407,4781498,8.09683687080434,8.51197679053719,7.2862561299353485,8.907417611673331,,A
09,003,454,4476642,9.438624592383576,10.141530191603438,8.542981876246756,10.334267308520396,,A
09,005,137,919610,13.713983652714779,14.89761964310958,11.232488927872307,16.19547837755725,,A
09,007,89,820693,9.813049945184902,10.844493616979797,7.769084053155566,12.229988143298224,,A
09,009,449,4306748,9.596005435784148,10.425499704185153,8.676111566875656,10.51589930469264,,A
09,011,203,1340219,13.692177562127377,15.146778250420267,11.71665488519798,15.667700239056773,,A
09,013,79,751772,10.6106021105176,10.508505238290333,8.302142669576604,13.362297310128845,,A
09,015,93,582212,14.701018256681511,15.973562894615707,11.742651238688568,18.178036735894516,,A
09,110,,,,,,,,U
09,120,,,,,,,,U
09,130,,,,,,,,U
09,140,,,,,,,,U
09,150,,,,,,,,U
09,160,,,,,,,,U
09,170,,,,,,,,U
09,180,,,,,,,,U
09,190,,,,,,,,U
10,000,660,5092396,12.368069279862986,12.96050032244154,11.38060785784213,13.355530701883843,,
10,001,140,937217,14.654876725086947,14.937842570077153,12.148320401338859,17.161433048835033,,
10,003,352,2875418,11.740783043052364,12.241698424368213,10.48376971239956,12.997796373705167,,
10,005,168,1279761,12.059619473589315,13.127451141267786,9.97235443875378,14.14688450842485,,
11,000,212,3435891,5.798042099658726,6.17016081127137,4.993136831021527,6.602947368295926,,
11,001,212,3435891,5.798042099658726,6.17016081127137,4.993136831021527,6.602947368295926,,
12,000,17151,111742204,13.872405325046028,15.348721777494204,13.654828000659359,14.089982649432697,,
